epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,206.351,0.37372,2.09304,1.08832,0.91695,0.78193,0.92936,0.87775,0.35225,0.98704,0.66132,0.000276774,0.000276774,0.000276774
2,337.448,0.28964,1.0827,1.01305,0.84926,0.86654,0.93531,0.82288,0.41377,0.94453,0.73727,0.000548952,0.000548952,0.000548952
3,468.19,0.29536,1.02005,1.00391,0.84635,0.90169,0.9582,0.8783,0.38457,0.74528,0.71276,0.000815631,0.000815631,0.000815631
4,598.654,0.26471,0.94536,0.98447,0.90312,0.9643,0.97677,0.93622,0.30873,0.49494,0.60897,0.00080826,0.00080826,0.00080826
5,733.383,0.25235,0.85624,0.97218,0.92587,0.94763,0.9766,0.93862,0.30067,0.53757,0.60311,0.000800013,0.000800013,0.000800013
6,871.96,0.22966,0.73804,0.9569,0.90988,0.92765,0.97531,0.91657,0.39084,0.57641,0.72413,0.000791767,0.000791767,0.000791767
7,1011.46,0.21351,0.72429,0.95257,0.98388,0.95811,0.98898,0.97752,0.26569,0.48561,0.56018,0.00078352,0.00078352,0.00078352
8,1144.69,0.18938,0.65289,0.94005,0.98385,0.98986,0.9942,0.98371,0.25563,0.32977,0.55122,0.000775273,0.000775273,0.000775273
9,1275.72,0.18964,0.646,0.93897,0.96037,0.961,0.98937,0.97648,0.21982,0.36153,0.51491,0.000767026,0.000767026,0.000767026
10,1430.8,0.18122,0.59817,0.93117,0.93782,0.96086,0.98693,0.86405,0.41087,0.62003,0.65164,0.00075878,0.00075878,0.00075878
11,1581.64,0.1775,0.59117,0.93157,0.97206,0.98226,0.99354,0.98279,0.2044,0.32888,0.48419,0.000750533,0.000750533,0.000750533
12,1715.79,0.16709,0.54863,0.92662,0.98668,0.97083,0.99362,0.97309,0.28644,0.3182,0.59113,0.000742286,0.000742286,0.000742286
13,1849.35,0.15663,0.5177,0.91407,0.98335,0.97917,0.99088,0.96693,0.27255,0.36204,0.56087,0.00073404,0.00073404,0.00073404
14,1982.87,0.15038,0.50436,0.91697,0.99023,0.99878,0.995,0.98816,0.23115,0.28203,0.52995,0.000725793,0.000725793,0.000725793
15,2119.32,0.14456,0.48241,0.91129,0.99474,0.98952,0.99456,0.9761,0.26056,0.28862,0.57252,0.000717546,0.000717546,0.000717546
16,2262.8,0.14034,0.47882,0.91153,0.99758,0.98301,0.99484,0.98801,0.23013,0.33122,0.52185,0.000709299,0.000709299,0.000709299
